Ano de lancamento,Classificacao,Desenvolvedora,Genero,Media de pontuacao,Nome,Plataforma,Publicadora,Vendas globais
2007,3,641,4,26.15,Napoleon Dynamite: The Game,3,67,0.03
2009,1,91,8,33.75,Dead Rising: Chop Till You Drop,0,12,0.29
2011,0,166,0,33.7,UFC Personal Trainer: The Ultimate Fitness System,5,28,0.19
2000,0,32,2,41.5,MotoGP,6,25,0.27
2004,1,793,11,44.45,Kingdom Under Fire: The Crusaders,13,41,0.32
2005,2,105,8,34.55,Star Wars Episode III: Revenge of the Sith,13,4,1.24
2002,2,867,6,40.15,Gunvalkyrie,13,52,0.17
2007,2,156,9,38.9,WWE SmackDown vs Raw 2008,4,28,1.43
2006,0,67,0,41.5,Tony Hawk's Downhill Jam,3,4,0.22
2008,1,37,6,50.35,Gears of War 2,4,1,6.75
2015,1,48,8,41.35,Resident Evil: Revelations 2,9,12,0.55
2006,2,125,3,35.7,Phantasy Star Universe,4,8,0.12
2007,0,148,11,32.6,Thrillville: Off the Rails,3,18,0.04
2010,0,971,11,36.2,Patrician IV,14,206,0.04
2004,0,50,1,37.35,Crash: Twinsanity,13,23,0.15
2003,2,41,11,48.5,Warcraft III: The Frozen Throne,14,4,1.54
2010,2,605,8,32.75,Dynasty Warriors: Gundam 3,5,48,0.54
2002,0,913,0,43.4,MLB SlugFest 20-03,13,39,0.2
2008,3,717,2,32.85,Need For Speed: Undercover,3,7,0.23
2006,0,417,8,30.35,Curious George,6,25,0.12
2014,2,188,8,34.55,Samurai Warriors Chronicles 3,10,48,0.08
1999,0,870,5,37.45,Bust A Groove 2,12,24,0.26
2005,1,948,6,40.6,Cold Winter,6,23,0.11
2012,0,83,0,49.0,NBA 2K13,5,2,2.47
2004,0,83,0,49.1,ESPN NFL 2K5,6,8,2.62
2016,0,159,8,39.4,Disney Art Academy,10,0,0.11
2002,2,1560,11,43.45,Culdcept,6,8,0.03
2016,1,220,8,33.1,Mafia III,14,2,0.19
2009,2,188,8,31.1,Samurai Warriors 3,0,0,0.44
2002,2,89,7,50.1,The Sims Deluxe,14,7,0.04
2004,2,1054,10,31.1,Shaman King: Power of Spirit,6,14,0.13
2009,2,243,8,38.15,Assassin's Creed II: Discovery,3,5,0.28
2011,1,279,6,37.85,Homefront,5,28,0.9
2014,2,722,8,37.4,One Piece: Unlimited World Red,22,25,0.13
2008,2,612,9,27.45,Castlevania Judgment,0,14,0.16
2008,2,797,3,35.45,Sands of Destruction,3,8,0.23
2002,1,337,8,38.8,Hunter: The Reckoning,19,17,0.1
2015,0,1570,8,32.8,The Peanuts Movie: Snoopy's Grand Adventure,9,4,0.03
2008,3,16,7,36.0,Help Wanted: 50 Wacky Jobs,0,68,0.1
2008,2,247,3,37.55,Tales of Symphonia: Dawn of the New World,0,25,0.52
2002,2,143,7,44.65,Star Wars: Jedi Starfighter,6,4,0.5
2006,0,1111,4,14.25,Sudoku Mania,3,84,0.1
2009,0,69,0,42.35,Pro Evolution Soccer 2010,5,14,2.28
2011,0,53,2,49.6,Forza Motorsport 4,4,1,4.57
2008,3,50,8,43.9,LEGO Batman: The Videogame,14,19,0.06
2016,3,364,6,44.75,Plants vs. Zombies: Garden Warfare 2,14,7,0.05
2009,2,765,11,41.95,Demigod,14,10,0.02
2008,0,115,1,42.6,Banjo-Kazooie,4,1,0.01
2005,2,60,0,42.35,Tony Hawk's American Wasteland,13,4,0.62
2003,1,267,8,35.8,Resident Evil: Dead Aim,6,12,0.35
2008,3,50,8,42.7,LEGO Indiana Jones: The Original Adventures,6,18,1.37
2012,1,248,6,28.75,NeverDead,4,14,0.1
2001,0,249,0,44.3,Mat Hoffman's Pro BMX,12,4,0.54
2011,2,185,8,31.9,Spider-Man: Edge of Time,4,4,0.25
2005,2,32,8,34.1,Urban Reign,6,25,0.08
2006,0,18,0,42.95,NCAA Football 07,4,7,0.73
2009,1,225,8,45.35,Ninja Gaiden Sigma 2,5,116,0.85
2010,2,12,8,37.15,Tom Clancy's HAWX 2,4,5,0.36
2004,2,747,3,31.6,Arc the Lad: End of Darkness,6,3,0.06
2004,0,561,5,27.9,Texas Hold 'Em Poker,8,35,0.61
2014,1,52,8,41.9,Watch Dogs,17,5,1.57
2004,0,276,0,47.05,ESPN NHL 2K5,6,63,0.88
2000,2,1626,11,35.4,Hogs of War,12,52,0.02
2011,0,278,5,35.0,SpongeBob SquigglePants 3D,10,28,0.19
2005,0,590,1,39.35,Stuart Little 3: Big Photo Adventure,6,3,0.08
2003,2,243,6,40.65,James Bond 007: Everything or Nothing,8,7,0.17
2007,0,16,5,33.05,Fishing Master,0,14,0.31
2008,0,57,0,37.0,Madden NFL 09,6,7,1.49
2008,2,49,3,35.75,White Knight Chronicles: International Edition,5,3,0.93
2011,3,50,8,40.05,LEGO Pirates of the Caribbean: The Video Game,5,32,0.95
2008,0,22,0,39.2,Skate it,0,7,0.58
2012,1,373,8,45.5,Darksiders II,4,28,0.79
2002,0,624,0,39.2,RedCard 20-03,19,39,0.02
2004,0,35,0,46.05,NBA Live 2005,6,7,2.59
2008,1,97,8,48.85,Dead Space,4,7,1.4
2008,1,187,6,41.4,The Club,4,8,0.27
2009,3,364,11,47.95,Plants vs. Zombies,14,209,0.05
2007,3,107,2,33.95,Need for Speed: ProStreet,0,7,1.1
2013,1,606,8,45.3,Metro: Last Light,14,41,0.19
2005,2,46,3,36.45,Musashi: Samurai Legend,6,10,0.15
2009,2,574,8,40.15,Tom Clancy's HAWX,4,5,0.58
2011,0,175,0,36.25,Kinect Sports: Season Two,4,1,2.34
2013,1,12,8,45.85,Assassin's Creed IV: Black Flag,14,5,0.64
2005,1,92,6,45.4,SOCOM 3: U.S. Navy SEALs,6,3,1.69
2011,2,1695,6,33.4,Breach,14,160,0.01
2004,0,50,1,36.0,Crash: Twinsanity,6,23,0.64
2009,3,684,8,36.35,Ghostbusters: The Video Game,6,10,0.43
2004,1,1180,10,26.15,CSI: Crime Scene Investigation,13,5,0.12
2003,0,1015,0,41.25,Tiger Woods PGA Tour 2004,8,7,0.18
2007,0,51,4,34.0,Arkanoid DS,3,15,0.06
2011,2,529,3,45.65,RIFT,14,53,0.67
2015,1,337,9,40.55,Mortal Kombat X,14,19,0.05
2011,3,0,8,32.15,Steel Diver,10,0,0.49
2005,3,172,8,33.55,The Incredibles: Rise of the Underminer,6,28,0.36
2016,2,866,8,40.75,Batman: Return to Arkham,9,19,0.26
2011,1,116,3,51.25,Mass Effect 2,5,7,1.45
2010,3,46,3,45.3,Kingdom Hearts: Birth by Sleep,16,15,2.06
2008,3,723,2,32.55,SBK Superbike World Championship,5,195,0.25
2004,1,3,8,40.95,Manhunt,13,2,0.19
2009,3,46,3,34.8,Final Fantasy Crystal Chronicles: Echoes of Time,0,15,0.25
2011,2,1200,7,24.75,JASF: Jane's Advanced Strike Fighters,4,41,0.09
2014,3,278,8,35.3,Adventure Time: The Secret of the Nameless Kingdom,10,241,0.08
2008,1,144,8,16.75,Vampire Rain: Altered Species,5,153,0.06
2011,0,69,0,39.85,Pro Evolution Soccer 2011 3D,10,14,0.38
2010,2,187,6,34.55,James Bond 007: Blood Stone,4,4,0.47
2007,0,43,2,35.25,Diddy Kong Racing DS,3,0,1.22
2004,2,97,6,45.2,James Bond 007: Everything or Nothing,13,7,0.64
2012,2,48,9,43.7,Street Fighter X Tekken,4,12,0.47
2007,0,990,8,16.45,Godzilla Unleashed: Double Smash,3,10,0.12
2007,0,69,0,44.95,Pro Evolution Soccer 2008,6,14,3.63
2013,2,156,0,40.75,WWE 2K14,5,2,1.14
2010,1,1442,6,19.8,MorphX,4,11,0.05
2010,2,52,0,33.75,Shaun White Skateboarding,5,5,0.19
2002,0,83,0,49.0,NBA 2K2,19,8,0.12
2002,2,447,6,35.3,Gun Metal,13,115,0.11
2009,0,149,1,36.0,Cloudy With a Chance of Meatballs,5,5,0.1
2006,3,38,8,29.0,Rampage: Total Destruction,6,39,0.37
2010,2,1000,3,34.6,Arcania: Gothic 4,4,271,0.09
2016,1,1329,10,45.65,Zero Escape: Zero Time Dilemma,22,389,0.06
2006,0,21,4,40.0,Bomberman,16,14,0.15
2008,2,35,9,33.3,FaceBreaker K.O. Party,0,7,0.22
2004,1,337,10,33.15,Leisure Suit Larry: Magna Cum Laude,6,23,0.34
2008,2,668,5,27.75,Hail to the Chimp,5,411,0.05
2005,2,260,9,27.3,Dragon Ball Z: Sagas,19,10,0.21
2008,3,696,8,31.0,Insecticide,3,411,0.06
2009,2,374,3,27.6,Marvel: Ultimate Alliance 2,0,4,0.32
2014,3,140,8,46.55,Skylanders: Trap Team,18,4,0.7
2003,2,89,7,44.3,The Sims: Makin' Magic,14,7,1.92
2008,0,275,5,29.1,Disney Sing It,4,32,0.43
2005,0,32,2,40.55,Ridge Racer 6,4,25,0.2
2012,2,55,3,50.55,Fire Emblem: Awakening,10,0,2.01
2009,0,495,4,39.4,Harvest Moon: Frantic Farming,3,70,0.1
2001,0,0,8,43.25,Luigi's Mansion,19,0,3.6
2008,0,1034,4,35.35,Professor Heinz Wolff's Gravity,0,41,0.17
2007,0,452,8,32.8,Ratatouille,19,28,0.14
2007,0,57,0,42.9,Madden NFL 08,6,7,2.57
2010,2,230,3,50.45,Xenoblade Chronicles,0,0,0.91
2009,1,100,6,46.1,Borderlands,4,2,3.44
2006,3,736,9,41.15,Custom Robo Arena,3,0,0.16
2005,1,753,0,36.85,Outlaw Tennis,13,63,0.04
2004,1,42,2,30.35,Driv3r,13,10,0.76
2008,1,491,8,38.05,Turok,4,129,0.75
2008,1,480,10,31.85,Alone in the Dark,4,10,0.48
2007,3,38,9,25.6,Godzilla Unleashed,0,10,0.16
2004,0,125,5,40.8,Sonic Mega Collection Plus,6,8,2.9
2001,0,449,2,28.55,Stunt GP,6,103,0.05
2012,1,464,8,41.4,Devil May Cry HD Collection,5,12,0.82
2009,2,143,8,28.4,Indiana Jones and the Staff of Kings,3,4,0.25
2014,2,579,1,32.85,htoL#NiQ: The Firefly Diary,22,131,0.01
2003,1,44,7,45.45,Zone of the Enders: The 2nd Runner,6,14,0.41
2007,0,294,2,45.2,DiRT,4,34,0.87
2004,2,287,0,33.25,Cabela's Deer Hunt 2005 Season,13,4,0.11
2003,2,1596,7,47.3,IL-2 Sturmovik: Forgotten Battles,14,5,0.02
2009,1,1506,6,25.45,C.O.R.E.,3,330,0.04
2016,3,182,8,39.0,LEGO Marvel's Avengers,9,19,0.73
2001,0,22,2,46.6,Rumble Racing,6,7,0.21
1999,2,153,11,50.5,Age of Empires II: The Age of Kings,14,1,0.09
2004,1,77,6,48.45,Counter-Strike: Source,14,23,0.08
2007,3,1639,4,46.0,Puzzle Quest: Challenge of the Warlords,16,58,0.02
2003,2,142,7,45.35,The Sims,6,7,2.77
2016,1,1671,3,31.4,The Technomancer,14,82,0.01
2002,2,401,9,26.6,Kakuto Chojin,13,1,0.05
2004,2,90,8,26.45,Catwoman,6,7,0.17
2014,3,718,9,27.4,Digimon All-Star Rumble,5,25,0.09
2004,3,117,8,41.75,Dragon Ball: Advanced Adventure,8,25,0.04
2014,2,18,0,38.15,EA Sports UFC,17,7,0.47
2003,2,103,8,43.9,Sphinx and the Cursed Mummy,19,28,0.14
2006,2,1490,11,42.45,Heroes of Might and Magic V,14,5,0.04
2015,0,180,7,43.95,Football Manager 2016,14,8,0.35
2010,1,846,10,26.25,CSI: Fatal Conspiracy,14,5,0.04
2011,1,52,8,48.1,Assassin's Creed: Brotherhood,14,5,0.59
2001,2,89,7,46.45,The Sims: Hot Date,14,7,1.82
2008,0,35,0,45.05,FIFA Soccer 09,3,7,0.49
2012,2,72,8,43.65,Transformers: Fall of Cybertron,4,4,0.44
2012,0,83,0,46.0,NBA 2K13,18,2,0.13
2001,2,116,6,44.15,MDK2 Armageddon,6,17,0.17
2005,3,1170,3,32.6,Lunar: Dragon Song,3,70,0.12
2002,0,6,0,48.05,NHL 2K3,13,8,0.12
2009,2,618,6,23.45,Terminator Salvation,5,19,0.53
2014,1,45,8,43.8,Metal Gear Solid V: Ground Zeroes,14,14,0.01
2013,2,355,3,44.1,Etrian Odyssey Untold: The Millennium Girl,10,91,0.26
2002,0,18,0,49.0,Tiger Woods PGA Tour 2003,19,7,0.23
2009,3,832,4,40.85,Puzzle Quest: Galactrix,3,58,0.15
2011,3,717,8,35.5,Need for Speed: The Run,10,7,0.19
2009,1,7,6,45.1,Call of Duty: Modern Warfare 2,14,4,0.88
2003,0,18,0,46.6,NBA Live 2004,13,7,0.51
2006,3,45,3,44.9,Lunar Knights,3,14,0.23
2010,1,248,6,35.65,Aliens vs Predator,4,8,1.06
2008,1,218,8,38.0,Viking: Battle for Asgard,4,8,0.44
2001,0,12,1,33.05,Disney's Tarzan Untamed,6,5,0.41
2012,1,1480,6,37.45,Resident Evil 6,14,12,0.04
2015,1,1009,10,47.65,Steins;Gate 0,22,148,0.09
2005,0,151,0,43.95,Tiger Woods PGA Tour 06,16,7,0.2
2004,2,798,6,35.05,Dead Man's Hand,13,10,0.11
2012,3,382,2,43.6,Wipeout 2048,22,3,0.35
2008,2,199,10,30.55,"Flower, Sun, and Rain",3,70,0.07
2005,2,231,8,36.0,Aeon Flux,13,28,0.01
2014,2,163,3,49.45,Dark Souls II,4,25,0.74
2000,2,18,9,46.25,Knockout Kings 2001,12,7,0.41
2014,0,453,2,35.8,NASCAR '14,5,41,0.11
2008,2,163,7,35.85,Armored Core: For Answer,4,5,0.15
2004,2,36,6,34.1,GoldenEye: Rogue Agent,13,7,0.49
2005,1,225,9,46.6,Dead or Alive 4,4,48,0.47
2013,0,280,8,25.65,LEGO Friends,10,19,0.04
2004,0,342,2,34.6,Hot Wheels: Stunt Track Challenge,13,28,0.1
2001,2,251,2,45.9,Spy Hunter,6,39,1.67
2006,2,91,3,44.2,Valkyrie Profile: Lenneth,16,15,0.36
2005,2,775,9,40.9,The King of Fighters 02/03,6,244,0.07
2005,0,18,0,43.4,Tiger Woods PGA Tour 06,19,7,0.11
1998,0,33,1,49.95,Crash Bandicoot 3: Warped,12,3,7.13
2012,1,289,8,40.45,Anarchy Reigns,4,8,0.17
2002,0,1530,1,25.35,Earthworm Jim 2,8,23,0.03
2015,0,150,2,44.8,Project CARS,9,93,1.09
2013,3,12,5,39.0,Just Dance 2014,17,5,0.45
2003,0,32,5,42.15,Donkey Konga,19,0,1.15
2011,2,294,2,47.05,DiRT 3,5,34,1.06
2005,3,503,3,36.8,Ms Saga: A New Dawn,6,25,0.05
2014,2,883,3,40.15,Lost Dimension,22,131,0.08
2003,2,48,8,36.6,Chaos Legion,6,12,0.3
2006,0,293,0,38.25,Madden NFL 07,3,7,0.21
2007,2,340,6,33.7,Time Crisis 4,5,25,0.83
2005,0,35,0,41.75,NBA Street: Showdown,16,7,0.22
2004,2,46,3,42.5,Final Fantasy XI: Chains of Promathia,6,15,0.25
2001,0,52,1,34.2,Disney's Tarzan Untamed,19,5,0.18
2009,1,406,8,45.0,Brutal Legend,4,7,0.97
2007,0,550,2,40.8,Sega Rally Revo,14,8,0.01
2011,1,15,6,45.05,Halo: Combat Evolved Anniversary,4,1,2.4
2015,1,3,8,51.95,Grand Theft Auto V,14,2,1.17
2014,1,52,8,40.85,Watch Dogs,14,5,0.45
2016,1,171,8,34.7,Dead Island Definitive Collection,9,41,0.14
2006,3,91,3,41.2,Dragon Quest Monsters: Joker,3,15,1.76
2012,1,440,3,44.3,Kingdoms of Amalur: Reckoning,5,7,0.85
2002,1,300,0,32.9,BMX XXX,13,30,0.11
2015,0,69,0,45.6,Pro Evolution Soccer 2016,17,14,0.11
2013,0,35,0,45.8,FIFA 14,14,7,0.4
2006,2,841,3,39.25,Wild ARMs 5,6,11,0.28
2007,2,649,3,28.5,Alien Syndrome,16,8,0.08
2012,2,41,3,43.4,World of Warcraft: Mists of Pandaria,14,4,1.82
2001,2,94,2,34.65,The Simpsons: Road Rage,13,7,1.05
2006,2,1082,8,28.15,X-Men: The Official Game,19,4,0.15
2013,0,0,1,42.45,New Super Luigi U,18,0,2.24
2005,3,128,1,45.9,Sly 3: Honor Among Thieves,6,3,0.83
2006,0,130,0,39.05,Hot Shots Tennis,6,3,0.9
2009,2,496,9,47.25,BlazBlue: Calamity Trigger,4,148,0.36
2005,0,16,1,29.0,Frogger: Ancient Shadow,6,14,0.1
2000,0,393,11,40.35,Romance of the Three Kingdoms VII,6,48,0.32
2011,3,50,8,41.75,LEGO Star Wars III: The Clone Wars,14,18,0.25
2004,0,32,5,42.55,Taiko Drum Master,6,25,0.2
1996,0,48,4,45.2,Super Puzzle Fighter II Turbo,12,17,0.14
2011,1,189,6,47.65,Dead Space 2,14,7,0.32
2004,0,0,11,49.55,Pikmin 2,19,0,1.2
2010,2,285,8,21.5,Harry Potter and the Deathly Hallows - Part 1,4,7,0.45
2013,1,171,8,31.65,Dead Island: Riptide,4,41,0.78
2006,2,156,9,44.4,WWE SmackDown vs. RAW 2007,4,28,0.5
2003,0,393,11,41.45,Romance of the Three Kingdoms IX,6,48,0.07
2005,0,1212,0,39.65,Real World Golf,6,351,0.11
2004,0,57,0,44.5,NFL Street,19,7,0.35
2013,0,293,11,24.5,Angry Birds Star Wars,9,4,0.21
2015,2,971,11,34.2,Grand Ages: Medieval,14,206,0.05
2007,1,42,2,32.5,Driver: Parallel Lines,0,5,0.03
2011,2,1003,9,14.1,Hulk Hogan's Main Event,4,11,0.13
2008,2,378,8,29.5,Rygar: The Battle of Argus,0,70,0.09
2009,1,289,8,49.0,Bayonetta,4,8,0.93
2004,0,0,10,40.25,Classic NES Series: Zelda II: The Adventure of Link,8,0,0.7
2010,1,29,6,47.65,Battlefield: Bad Company 2,14,7,0.72
2006,2,935,3,33.95,Growlanser: Heritage of War,6,70,0.22
2011,1,92,6,36.65,SOCOM 4: U.S. Navy SEALs,5,3,0.89
2010,0,4,2,45.75,Gran Turismo 5,5,3,10.7
2004,1,77,6,52.55,Half-Life 2,14,23,2.37
2002,0,18,0,49.1,NCAA Football 2003,13,7,0.52
2005,0,148,1,32.8,Rayman DS,3,5,0.26
2013,1,347,6,29.0,Sniper: Ghost Warrior 2,5,86,0.33
2008,3,125,1,30.95,Sonic Unleashed,5,8,1.02
2007,2,496,9,41.7,Guilty Gear XX Accent Core,0,11,0.04
2005,1,267,8,28.05,Beat Down: Fists of Vengeance,6,12,0.17
2005,1,577,6,40.05,Area 51,13,39,0.29
2005,1,12,8,46.7,Prince of Persia: The Two Thrones,13,5,0.58
2013,1,72,8,34.1,Deadpool,5,4,0.45
2001,2,69,10,43.1,Shadow of Destiny,6,14,0.21
2005,0,589,0,34.75,SBK: Snowboard Kids,3,70,0.02
2001,2,48,1,46.35,Maximo: Ghosts to Glory,6,12,0.77
2007,0,293,2,40.7,Need for Speed: ProStreet,3,7,0.12
2006,2,0,6,46.5,Metroid Prime Hunters,3,0,0.76
2009,3,1250,8,38.3,Tornado Outbreak,5,14,0.09
2011,3,1268,2,36.9,Jimmie Johnson's Anything With an Engine,4,14,0.09
2001,2,52,10,37.9,Batman: Vengeance,19,5,0.26
2011,1,111,10,48.4,L.A. Noire,4,2,2.7
2006,0,85,0,42.75,Winning Eleven: Pro Evolution Soccer 2007,4,14,0.1
2009,3,185,8,34.6,Monsters vs. Aliens,14,4,0.03
1996,1,48,8,50.0,Resident Evil,12,17,5.05
2003,1,231,8,39.45,RoadKill,6,39,0.17
2011,1,1040,8,30.5,The Cursed Crusade,14,233,0.03
2007,3,724,8,23.4,Looney Tunes: Acme Arsenal,4,19,0.08
2000,0,255,0,50.65,SSX,6,7,1.66
2007,2,52,8,43.3,Naruto: Rise of a Ninja,4,5,0.33
2014,1,755,8,33.2,Murdered: Soul Suspect,14,15,0.05
2008,0,718,5,38.3,Let's TAP,0,8,0.17
2008,2,1115,3,36.6,Eternal Poison,6,56,0.14
2007,2,48,3,40.35,Monster Hunter Freedom 2,16,12,2.57
2012,1,6,6,43.9,Call of Duty: Black Ops II,4,4,13.67
2013,2,329,3,46.75,Final Fantasy X / X-2 HD Remaster,5,15,1.27
2009,2,247,9,43.1,SoulCalibur: Broken Destiny,16,25,0.51
2008,3,311,1,33.25,Crash: Mind Over Mutant,4,23,0.47
2007,2,631,8,29.7,Lair,5,3,0.51
2003,0,663,6,46.75,Ikaruga,19,10,0.09
1997,2,14,3,50.6,Final Fantasy VII,12,3,9.72
2001,0,398,0,35.4,NFL GameDay 2002,12,3,0.4
2008,1,48,8,42.45,Resident Evil Archives: Resident Evil,0,12,0.3
2001,0,741,0,32.9,ESPN X Games Skateboarding,6,14,0.36
2011,3,12,9,34.25,PowerUp Heroes,4,5,0.3
2011,2,78,3,38.35,Dungeon Siege III,14,15,0.17
2004,1,3,8,52.0,Grand Theft Auto: San Andreas,6,2,20.81
2003,2,32,3,47.25,Tales of Symphonia,19,0,1.1
2016,0,408,7,36.0,Farming Simulator 17,14,82,0.65
2009,2,646,5,43.8,Rock Band Unplugged,16,31,0.48
2001,0,22,0,41.75,NBA Live 2002,13,7,0.4
2012,0,121,8,31.3,Epic Mickey 2: The Power of Two,18,32,0.23
2007,0,335,0,29.4,Winter Sports: The Ultimate Challenge,0,78,1.24
2003,2,149,8,48.85,Tom Clancy's Splinter Cell,19,5,0.23
2004,2,736,3,36.55,Custom Robo,19,0,0.37
2004,2,139,2,50.6,Burnout 3: Takedown,13,7,1.31
2011,0,57,0,27.15,Madden NFL Football,10,7,0.39
2007,2,97,7,39.5,The Sims 2: Castaway,6,7,0.37
2007,0,35,0,39.6,NBA Live 08,16,7,0.31
2003,0,310,0,38.55,NBA Jam,13,30,0.14
2003,0,18,0,48.9,Tiger Woods PGA Tour 2004,6,7,1.63
2003,0,610,1,34.15,The Hobbit,19,23,0.17
2008,2,149,11,42.1,Tom Clancy's EndWar,4,5,0.91
2007,2,641,8,21.2,Fantastic Four: Rise of the Silver Surfer,6,2,0.39
2004,2,885,3,42.3,The Bard's Tale,6,5,0.21
2009,0,51,4,34.65,Gardening Mama,3,11,1.35
2014,2,883,3,39.15,Lost Dimension,5,131,0.07
2002,2,964,2,38.75,Crazy Taxi 3: High Roller,13,8,0.2
2004,2,163,10,34.4,Echo Night Beyond,6,235,0.04
2004,2,790,8,36.1,Rocky: Legends,13,5,0.1
2009,3,64,5,41.3,LEGO Rock Band,5,19,0.42
2013,1,467,6,43.45,Killzone: Mercenary,22,16,0.8
2006,3,1213,10,33.4,Touch Detective,3,11,0.09
2010,1,264,8,41.35,Mafia II,5,2,1.49
2006,1,223,10,29.35,Gangs of London,16,3,0.95
2006,1,586,8,38.75,The Outfit,4,28,0.25
2001,2,1455,11,44.6,Empire Earth,14,23,0.05
2007,0,12,5,38.9,My Word Coach,3,5,1.44
2011,2,156,9,38.65,WWE '12,4,28,1.27
2002,0,1182,2,43.7,F1 2002,6,7,0.12
2010,2,971,7,35.1,DarkStar One: Broken Alliance,4,206,0.2
2001,0,470,2,19.65,Motocross Mania,12,2,0.79
2011,2,103,6,39.15,Goldeneye 007: Reloaded,5,4,0.78
2001,0,1073,2,19.95,Paris-Dakar Rally,6,30,0.15
2004,0,260,1,41.8,Tak 2: The Staff of Dreams,19,28,0.33
2015,0,18,0,32.8,NBA Live 16,17,7,0.11
2004,0,35,0,44.85,FIFA Soccer 2005,13,7,0.97
2007,3,234,3,36.35,Opoona,0,48,0.1
2013,1,711,8,39.7,Remember Me,5,12,0.32
2003,1,48,8,27.55,Dino Crisis 3,13,12,0.14
2005,0,378,0,38.65,Gallop Racer 2006,6,48,0.1
2011,1,261,8,39.55,Dead Rising 2: Off the Record,5,12,0.32
2014,1,920,3,19.85,Risen 3: Titan Lords,5,41,0.08
2000,0,18,0,48.4,Madden NFL 2001,12,7,1.67
2011,1,12,2,26.5,Driver: Renegade,10,5,0.09
2009,3,285,8,35.4,Harry Potter and the Half-Blood Prince,4,7,0.31
2000,0,789,0,25.3,Surfing H3O,6,2,0.25
2009,1,116,3,49.8,Dragon Age: Origins,14,7,0.51
2011,1,163,3,48.7,Dark Souls,4,25,0.99
2002,0,624,0,38.0,RedCard 20-03,13,39,0.03
2011,0,83,0,39.95,Major League Baseball 2K11,14,2,0.08
2001,0,378,0,40.05,Gallop Racer 2001,6,48,0.17
2002,0,48,1,43.4,Super Ghouls 'n Ghosts,8,12,0.07
1997,2,69,1,51.2,Castlevania: Symphony of the Night,12,14,1.27
2003,2,841,3,40.65,Wild ARMs: Alter Code F,6,3,0.09
2002,0,52,1,32.0,Disney's Donald Duck: Goin' Quackers,19,5,0.04
2004,2,895,6,26.4,Mobile Suit Gundam Seed: Never Ending Tomorrow,6,25,0.06
2013,1,183,6,36.25,The Bureau: XCOM Declassified,14,2,0.05
2000,2,69,0,35.95,ESPN Winter X Games: Snowboarding 2002,6,14,0.21
2003,0,634,8,31.8,Harry Potter and the Sorcerer's Stone,6,7,0.28
2007,3,258,5,31.15,Boogie,0,7,0.49
2003,1,913,6,33.75,Soldier of Fortune II: Double Helix,13,4,0.23
2009,2,30,0,46.0,Skate 2,4,7,1.09
2001,0,48,3,44.9,Breath of Fire II,8,5,0.19
2009,2,418,3,38.55,Phantasy Star Portable 2,16,8,0.87
2002,0,162,0,45.2,NHL Hitz 20-03,19,39,0.08
2011,2,294,2,47.05,DiRT 3,4,34,0.72
2008,2,213,8,37.7,Star Wars: The Force Unleashed,6,18,1.25
2009,1,52,8,49.4,Assassin's Creed II,4,5,5.26
2011,1,81,8,48.25,The Witcher 2: Assassins of Kings,14,25,0.96
2008,0,836,5,39.2,Princess Debut,3,360,0.1
2002,2,163,3,40.0,Lost Kingdoms,19,4,0.17
2008,1,52,8,45.7,Far Cry 2,5,5,1.38
2016,0,705,7,38.85,Farming Simulator 17,9,82,0.41
2006,1,272,9,21.05,Kengo: Legend of The 9,4,35,0.07
2003,2,1028,6,45.35,Metal Arms: Glitch in the System,13,23,0.17
2006,3,278,8,39.7,Justice League Heroes: The Flash,8,21,0.03
2003,0,90,8,25.25,Bionicle,13,7,0.06
2006,2,786,9,32.75,Bleach: Shattered Blade,0,8,0.32
2005,2,32,6,37.55,Star Fox: Assault,19,0,1.08
2005,1,488,8,41.15,Genji: Dawn of the Samurai,6,3,0.23
2004,1,378,8,46.15,Fatal Frame II: Crimson Butterfly Director's Cut,13,1,0.05
2001,0,959,9,44.9,Final Fight One,8,5,0.21
2014,1,1248,3,33.75,Natural Doctrine,22,131,0.07
2008,2,93,6,39.6,Mercenaries 2: World in Flames,4,7,1.06
2011,2,256,9,30.4,Dragon Ball Z: Ultimate Tenkaichi,4,25,0.54
2003,2,142,7,45.45,The Sims,13,7,0.42
2009,3,0,8,47.4,The Legend of Zelda: Spirit Tracks,3,0,3.31
2001,2,505,5,42.75,MTV Music Generator 2,6,34,0.15
2016,0,18,0,44.45,Madden NFL 17,17,7,1.23
2005,0,35,0,48.85,NBA Street V3,6,7,1.06
2010,0,271,0,46.7,Football Manager 2011,14,8,1.26
2004,0,58,5,41.5,Karaoke Revolution Volume 2,6,14,0.23
2001,2,233,8,49.4,ICO,6,3,0.47
2009,0,301,8,39.6,The Munchables,0,25,0.18
2011,2,48,9,46.55,Super Street Fighter IV: 3D Edition,10,12,1.21
2014,2,760,7,41.0,Tropico 5,14,206,0.12
2008,3,49,4,47.6,Professor Layton and the Unwound Future,3,0,3.26
2008,2,60,5,38.35,Guitar Hero: Aerosmith,4,4,1.23
2012,2,156,8,46.3,UFC Undisputed 3,4,28,0.99
2015,1,104,8,42.05,Assassin's Creed Syndicate,17,5,1.3
2009,0,22,7,38.75,SimAnimals,3,7,0.52
2009,2,1535,7,39.65,Majesty 2: The Fantasy Kingdom Sim,14,310,0.02
2003,0,55,11,49.2,Advance Wars 2: Black Hole Rising,8,0,0.65
2005,2,1143,7,42.1,Heroes of the Pacific,13,34,0.13
